,Sentence,type
59,"“He does something on other people’s walls and houses without asking. The owner of the property can do whatever they want with it,” Keszler said.",0
60,"﻿The huge fortunes made by the world’s richest 100 billionaires are making inequality worse and stopping the world from being able to reduce poverty, says Oxfam.",0
61,Oxfam said the world could end poverty several times over if the richest 100 billionaires would give away the money they made in 2012.,0
62,The charity said that the $240bn made in 2012 by the richest 100 billionaires would be enough to end extreme poverty four times over.,0
63,"It is unusual for charities to attack the wealthy, because they are usually seen as a source of money. Bill Gates and Warren Buffett are among a group of 40 US billionaires who have said they will give much of their money to aid projects, but there is little information about how much money they give each year.",0
64,"Russian, Middle Eastern and Chinese billionaires do not give away money to charity in the same way that US billionaires do.",0
65,"In the report, the charity asks world leaders to end income extremes and reduce inequality.",0
66,The report said that the richest 1% of people have increased their incomes by 60% in the past 20 years.,0
67,"Barbara Stocking, Oxfam’s Chief Executive, said: “We can no longer pretend that wealth for a few people will benefit many people – too often the opposite is true.”",0
68,"The report said the problem affected all parts of the world. “In the UK, inequality is returning to levels not seen since the nineteenth century. In China, the top 10% now earn nearly 60% of the income. Chinese inequality levels are now similar to those in South Africa, which is now the most unequal country on Earth.”",0
69,"In the US, the share of national income that goes to the top 1% of people has doubled since 1980 from 10% to 20%, the report says.",0
70,"The richest 1% are estimated to cause 10,000 times more pollution than the average US citizen.",0
71,"Oxfam said world leaders should learn from countries such as Brazil, which has grown quickly and reduced inequality at the same time.",0
72,Stocking said that world leaders should agree to reduce inequality to the levels seen in 1990.,0
73,"She said closing tax havens, which hold as much as $31 trillion, or as much as a third of all global wealth, could collect $189bn in additional taxes.",0
74,"In 2005, BlackBerry brought instant messaging to the mobile phone and the company was just entering its period of success. Then, the iPhone was still just an idea and BlackBerry’s innovations made its smartphone one of Canada’s biggest exports.",0
75,"Six years later, in the summer of 2011, there were riots in London and other UK cities. Rioters used BlackBerry Messenger (BBM) and politicians wanted the service to shut down. But, two years later, the users themselves are leaving BBM.",0
76,"Fewer and fewer people want BlackBerry phones. There are now many alternative products, from Facebook’s and Apple’s instant messaging applications to independent apps such as WhatsApp and Kik (which is also Canadian). They are free to download and use, and they use the internet to swap text messages, pictures, voice clips, 'stickers' and even videos between most types of phones.",0
77,"BBM is trying to keep its customers and you can now use it on Android and Apple phones. There are many other apps people can use, but lots of people want to use the BBM app – more than 20 million people downloaded it. But many people believe BBM will not survive. “The move to bring BlackBerry to the iPhone is four or five years too late,” says James Gooderson, a technology blogger. “WhatsApp has made BlackBerrys unnecessary for young people.”",0
78,"BBM says it has 80 million monthly users after its upgrade, but WhatsApp has 300 million. Other services show BBM’s weaknesses: Skype and Viber have video or voice calls, but BBM doesn’t; Path does location sharing, but BBM doesn’t; there is no video sharing, as on iMessage; and the stickers (a more sophisticated version of the smiley face), that kids around the world adore, are also absent. Even the contacts and calendar sharing that BBM made possible on BlackBerry phones are not on the Apple and Android versions.",0
79,"Messaging is now becoming visual. Photos that are uploaded to Instagram get instant comments and Snapchat’s pictures have opened a world of other possibilities. Like BBM, all of these services are free for any phone with an internet connection. But, in 2011, BBM was so powerful that it helped to start a revolution in Egypt; and at the time of the London riots, people used BBM, not their televisions, to find out quickly what was happening.",0
80,"Nearly 80% of young smartphone owners regularly use a social networking application but two-thirds use more than one. 60% of 16- to 24-year-olds use Facebook every day, but 46% use alternatives. “It’s much more complex,” says Benedict Evans, a digital media specialist. “All of these apps use your smartphone. Apps rise and fall like fireworks. Some, like Instagram, last; others just disappear.”",0
81,"Thirteen-year-old Bennett has three phones. He keeps his BlackBerry for messaging, he uses an iPhone to play games, and he makes phone calls on an Android phone. His friends are still on BBM. At the touch of a few buttons, you can send a single BlackBerry message to several hundred people; on WhatsApp, the limit is 50. But, for Bennett, Instagram is now a major social network. “Instagram is Facebook without parents,” he says. “Facebook is now for older people.” The low cost of buying and using a BlackBerry is still an advantage. Anyone with a second-hand phone and a £7-a-month deal from a telecoms company can use unlimited BBM messages. But people no longer trust the privacy of BBM. Business people, revolutionaries, demonstrators and rioters used to believe that their messages were secret. The arrests that followed the riots showed that wasn’t true.",0
82,"In the rich London district of South Kensington, the older pupils at one school all have Apple phones. They all use WhatsApp. For many, BBM is a distant memory. “I still have a Blackberry, but I’m the only one,” says one teenager. And how does that make him feel? “Isolated,” he says.",0
83,"﻿A big international disagreement has started over the right of Bolivia’s indigenous Indian tribes to chew coca leaves, the main ingredient in cocaine. This could have a significant effect on global drugs policy. Bolivia has received a special exemption from the 1961 Convention on Drugs, the agreement that controls international drugs policy. The exemption allows Bolivia’s indigenous people to chew the leaves.",0
84,"Bolivia said that the convention was against its new constitution, which says it must “protect native and ancestral coca” as part of its cultural heritage and says that coca “in its natural state … is not a dangerous drug”.",0
85,"South American Indians have chewed coca leaves for hundreds of years. The leaves give energy and have medicinal qualities. People who support Bolivia’s position said that defending the rights of indigenous people was the right thing to do. “The Bolivian move is very important,” said Danny Kushlick, of the Transform Drug Policy Foundation. “It shows that any country that doesn’t want to continue the war on drugs can change its relations with the UN conventions.”",0
86,"But the UN’s International Narcotics Control Board (INCB), which checks global drug agreements, says Bolivia may harm international drug controls. Many countries – including the UK, the US, Italy, Sweden, the Netherlands and Russia – do not want to give Bolivia what it is asking for.",0
87,"The UK told the UN that it “respects the cultural importance of the coca leaf in Bolivia”, but it adds: “The United Kingdom is worried that the exemption could lead to more coca production and – most importantly – more coca reaching the cocaine trade. The exemption would make it more difficult to control the illegal drugs trade.”",0
88,The right of indigenous people in South America’s Andean region to chew coca leaf was removed in 1964 when Bolivia was under a dictatorship and it signed the convention.,0
89,"In 2011, Bolivia told the UN that it did not want to be part of the convention any more. It is now part of the convention again, but with an exemption so that its indigenous people can continue chewing coca leaves.",0
90,The exemption is the first in the history of UN drug-control agreements. It has led to worries that other countries may also ask for exemptions. The Russian government says that the exemption will lead to more illegal cocaine and warns that “it also sets a dangerous example that could be used by other states in creating a more liberal drug-control regime”.,0
91,The British parliament has recommended that the UK government should support Bolivia’s request. It says that it is important that countries stay in the convention. Bolivia’s return could be blocked only if a third or more of the 184 countries that have signed the convention opposed the exemption. Some people believe that the US and UK are telling other countries that they should block Bolivia’s request.,0
92,"Nancie Prud’homme, of the International Centre on Human Rights and Drug Policy, said people are wrong to oppose Bolivia’s request. “These objections are not completely legal,” she said. She added that, all over the world, it has become normal to support cultural and indigenous rights, so we should support Bolivia’s efforts.",0
93,"The decision to ban coca chewing was based on a 1950 report. Some people say the report did not use any evidence. It is legal to grow coca leaves in Bolivia. As a result, cocaine production has decreased in the country and some experts see Bolivia as a model for other countries.",0
94,"﻿Male bosses are paid bonuses double the size of bonuses given to female colleagues in the same jobs. This means that men get bonuses of £141,500 more than women over their working lives.",0
95,"The numbers, released by the Chartered Management Institute (CMI), show that men in UK management jobs earned average bonuses of £6,442 in 2012 – compared with £3,029 for women.",0
96,"Female directors received bonuses of £36,270 over the past 12 months, compared with £63,700 received by male directors.",0
97,The numbers show that pay in British business is still not equal. Campaigners believe we must do something to improve equality at work.,0
98,"Ann Francke, the CMI’s chief executive, said that there should be more flexibility and less masculine cultures, and that the good work people do should be more important than how much time they spend in the office.",0
99,"Also, there should be more transparency around performance and bonuses.",0
100,"“If we solve this issue, we will improve the performance of organizations and the well- being of people at work,” she said. “What are we waiting for?”",0
101,Some of the numbers may be affected by women doing jobs where there is less of a culture of bonus payments. But the differences in the sizes of bonuses do make Britain’s pay gap worse. The government says the pay gap is closing but that full-time male employees still earn 10% more than women.,0
102,"Maria Miller, the Minister for Women and Equalities, said that the CMI numbers are another example from the world of work that shows that women still earn less than men doing the same job.",0
103,“Changes in the workplace are happening and it’s good that the pay gap is closing – but there is still more to do before we see full equality in the workplace.,0
104,"“The government is trying to help. 120 companies have joined our Think, Act, Report scheme, which encourages companies to improve the way they recruit, promote and pay women.",0
105,"“We’ve also looked at other causes of the pay gap, such as having to juggle work and family.”",0
106,"Large companies such as Tesco, BT, Unilever and the international law firm Eversheds are some of the companies that have signed up to Think, Act, Report. The scheme has only attracted 120 companies in nearly two years.",0
107,But the CMI’s numbers also showed that the pay gap is closing: the difference between the average salaries earned by male and female bosses appeared to be smaller than in 2012.,0
108,"﻿More than 100,000 people went onto the streets in Brazil to show their anger at violent police, poor public services and high costs for the World Cup.",0
109,"The demonstrations in Rio de Janeiro, São Paulo, Brasilia, Belem, Belo Horizonte and Salvador started peacefully, but there were some clashes with police and people set fire to cars and buses.",0
110,"People complained that police used rubber bullets, tear gas and violent beatings. Happening at the start of the football Confederations Cup, the rallies brought together people who are angry with the high costs and poor quality of public services, the large amounts of money spent on international sporting events, low standards of health care, inequality and corruption.",0
111,"Most of the demonstrations were peaceful, but several police were hurt, at least one car was burned and windows were broken.",0
112,"People were demonstrating for different reasons. “We are here because we hate the government. They do nothing for us,” said Oscar José Santos, 19 years old.",0
113,"“I’m an architect but I have been unemployed for six months. There must be something wrong with this country,” said Nadia al Husin.",0
114,"At a smaller rally in Brasilia, demonstrators entered the high-security area of the national congress. Several climbed onto the roof.",0
115,"In Belo Horizonte, police clashed with protesters who tried to get into a football stadium, where there was a Confederations Cup match between Nigeria and Tahiti.",0
116,"In Porto Alegre, demonstrators set fire to a bus and, in Curitiba, protesters tried to enter the office of the state governor. There were also rallies in Belem, Salvador and other places.",0
117,"In São Paulo, there were large groups of people but the marches were peaceful.",0
118,"Most protesters were young and, for many, it was their first experience of such a giant rally. “My generation has never experienced this,” said Thiago Firbida, a student. “Since the dictatorship, Brazilians have never demonstrated like this. They did not believe they had a reason to. But now Brazil once again has problems, with a constant rise in prices, so people are finally reacting.”",0
119,"Brazil’s demonstrations have been given special names – the “vinegar revolution” (because police arrested people for carrying vinegar to stop the effects of tear gas), the “20-cent revolution” (because of the bus price rise) and the Passe Livre (because of the demand for free public transport).",0
120,"Some said the protests did not feel Brazilian but they were liberating. “Our politicians need to see the strength we have as one people. Brazilians are usually too nice; they enjoy partying, not protesting, but something is changing,” said Deli Borsar, a 53-year-old yoga teacher.",0
121,"After people heard about the costs of new and improved stadiums on the news, the Confederations Cup football tournament has been one of the reasons for the protests. Before Saturday’s match in Brasilia, groups of demonstrators were dispersed by riot police. Frightened Japanese supporters ran from the area holding their children, when they heard shots – perhaps rubber bullets or tear gas.",0
122,"Another protest march, near Rio’s Maracana Stadium, also had a heavy police response.",0
123,President Dilma Rousseff “believes peaceful protests are correct and proper for a democracy and that it is natural for young people to demonstrate.”,0
124,"But people booed the president at the opening ceremony for the Confederations Cup. She will have serious political problems, both now and in 2014, when Brazil will host the World Cup and also have an election.",0
125,﻿The European Parliament have said that health warnings will cover nearly two-thirds of cigarette packs and there will be a ban on menthol cigarettes in the EU.,0
126,"The EU will ban menthol and other flavours from 2022. MEPs also decided that most electronic cigarettes, which are more and more popular as alternatives to normal cigarettes, do not to be need regulated in the same way as medicines.",0
127,"The Department of Health and e-cigarette companies in Britain want to find out exactly what this means – for example, will e-cigarette companies be banned from advertising at sports events?",0
128,"The Department of Health said: “We are very pleased to see tougher action on smoking, with European controls banning flavoured cigarettes and the introduction of stricter rules on health warnings on cigarette packs.",0
129,"“But we are disappointed with the decision not to regulate nicotine-containing products (NCPs), including e-cigarettes, as medicines. We believe these products need to be regulated as medicines.",0
130,“Smoking levels in England are at their lowest since records began – 19.5 per cent – but we want to reduce the numbers of people smoking even more and believe this important step will help.”,0
131,"UK e-cigarette companies, who were happy with the parliament’s vote, said they were already in talks with the Advertising Standards Authority. But they said that it would not be a good idea to ban all advertising.",0
132,MEPs decided e-cigarettes should only be regulated as medical products if the e-cigarette companies said they could stop people from smoking.,0
133,"Other groups want e-cigarettes, used by about 1.3 million people in Britain, to be regulated in the same way as gums, patches and mouth sprays, which are aimed at helping smokers to quit.",0
134,"The MEPs voted to put health warnings on 65% of each cigarette pack. At the moment, the warnings cover at least 30% on the front and 40% on the back. The UK government has not decided if they will do the same as Australia and introduce standardized packaging. First, they want to know that this will stop people from smoking.",0
135,The MEPs’ decision about the bigger health warnings on the packaging could become law in 2014.,0
136,"“The UK continues to believe that medicinal regulation of NCPs is best for public health,” said the Medicines and Healthcare Products Regulatory Authority.",0
137,"Linda McAvan, Labour MEP for Yorkshire and the Humber, said: “We know that it is children, not adults, who start smoking. There are fewer and fewer adult smokers in most EU countries, but there are more young smokers.”",0
138,"Martin Callanan, the Conservative MEP for North East England, said that banning e-cigarettes would have been totally crazy. “These are products that have helped many people stop smoking more harmful cigarettes.”",0
139,British American Tobacco said the bigger health warnings were not necessary and that a ban on menthol cigarettes would make more people want to buy from the black market.,0
140,﻿Poorer countries will be most affected by climate change in the next century.,0
141,"Sea levels will rise, there will be stronger cyclones, warmer days and nights, more rainfall, and larger and longer heatwaves, says a new report.",0
142,"The last big United Nations (UN) report, in 2007, said there would be temperature rises of 6°C or more by the end of the century. Scientists now think this will not happen, but average land and sea temperatures will probably continue rising during this century, possibly becoming 4 °C hotter than now. That rise would ruin crops and make life in many cities too hot.",0
143,"As temperatures rise and oceans become warmer, there will be big changes in annual rainfall in tropical and subtropical regions, says the Intergovernmental Panel on Climate Change (IPCC) report, released in Stockholm and published online in September 2013.",0
144,"East Africa can expect more short rainfalls and west Africa should expect heavier monsoons. Burma, Bangladesh and India can expect stronger cyclones; elsewhere in southern Asia, there will probably be heavier summer rainfalls. Indonesia may receive less rainfall between July and October, but the coastal regions around the south China Sea and Gulf of Thailand can expect more rainfall when cyclones hit the land. 'Rainfall patterns will change. Northern countries, for example in Europe or North America, will probably receive more rainfall, but many subtropical, dry regions will likely get less rain,' said the report.",0
145,The report also said that the monsoon season will probably start earlier and last longer.,0
146,Scientists in developing countries are happy with the report. “The IPCC says that climate change is real and happening much more strongly than before. We are already seeing the effects of climate change in Bangladesh and across south Asia. It’s not news to us.,0
147,"Most developing countries are experiencing climate change now. They do not need the IPCC to tell them that the weather is changing,” said Saleemul Huq, director of the International Centre for Climate Change and Development.",0
148,"Scientists have also lowered their predictions for sea-level rises. Sea levels will probably rise an average of 40 –62 cm by 2100. But many millions of people living in the developing world’s great cities, including Lagos and Calcutta, are in danger.",0
149,"Weather disasters are also more likely in a warmer world, the report says. The number of tropical cyclones will probably not change, but they may become more intense, with stronger winds and heavier rainfall.",0
150,"Life in many developing country cities could become very difﬁcult, especially because city temperatures are already higher than those in the countryside. Much higher temperatures could reduce the length of the growing period in some parts of Africa by up to 20%, the report said.",0
151,The charity Oxfam said that world hunger would get worse because climate changes hurt crop production. They said the number of people at risk of hunger might increase by 10% to 20% by 2050.,0
152,"“The changing climate is already hurting the ﬁght against hunger, and it looks like it will get worse,” said Oxfam. “A hot world is a hungry world”.",0
153,﻿Coal will probably rival oil as the world’s biggest source of energy in the next five years. This might be a disaster for the climate.,0
154,One of the biggest reasons behind the rise in coal use is the big increase in the use of shale gas in the US.,0
155,"New research from the International Energy Agency (IEA) shows that all over the world people are using more coal, except in the US, where shale gas is now more popular than coal. Because the US is using less coal, coal prices across the world have reduced. This has made coal more attractive, even in Europe.",0
156,"Maria van der Hoeven, Executive Director of the IEA, said that the amount of coal we use “continues to grow each year and, if no changes are made, coal will catch oil within ten years.”",0
157,"Coal is available in large amounts and it can be found in most regions of the world, unlike oil and gas, and it is cheap to extract. The IEA says that China and India will drive world coal use in the next five years, and India will probably overtake the US as the world’s second biggest consumer. China is the biggest coal importer, and Indonesia is the biggest coal exporter.",0
158,"According to the IEA’s Medium-Term Coal Market Report, the world will burn 1.2bn more tonnes of coal per year by 2017 compared with today.",0
159,"With the highest carbon emissions, coal makes climate change a lot worse, especially when it is burned in old-fashioned, inefficient power stations. Coal can also produce sulphur emissions – these lead to acid rain – and mercury and soot-particle pollution.",0
160,Van der Hoeven says that we should make coal more expensive so that people prefer to use cleaner technologies such as renewable power. Providing cheaper gas is the only way to reduce demand for coal. This has happened in the US because of the big increase in the production of shale gas there in the past five years.,0
161,"She said: “The US experience suggests that a more efficient gas market can reduce coal use, carbon dioxide emissions and electricity bills. Europe, China and other regions should take note.”",0
162,If something isn’t done soon there will be more climate change.,0
163,"﻿Illegal downloading is morally wrong, and it is theft, the same as putting your hand in someone’s pocket and stealing their wallet is theft, says author Philip Pullman. In an article for magazine Index on Censorship, Pullman, who is president of the Society of Authors, strongly defends copyright laws. He criticizes internet users who think it is OK to download music or books without paying for them.",0
164,"“The technology is so dazzling that people can’t see that what they’re doing is wrong,” he writes. “It is outrageous that anyone can steal an artist’s work without punishment. It is theft, just as putting your hand in someone’s pocket and taking their wallet is theft.”",0
165,His article comes after music industry leaders met British Prime Minister David Cameron in Downing Street to discuss the issue of web piracy.,0
166,"Pullman, writer of the His Dark Materials trilogy, says authors and musicians work in poverty for years to bring their work to the level “that gives happiness to their audiences and, when they achieve that, the possibility of making money from it is taken away from them”. He concludes: “If we want to enjoy the work that someone does, we should pay for it.”",0
167,"“Existing copyright laws don’t work in the digital age and they criminalize consumers. We need new ideas for how artists, writers and musicians can earn a living from their work.”",0
168,"Pullman is writing in the next issue of the campaign group’s magazine in a dialogue with Cathy Casserly, chief executive of Creative Commons. Casserly argues that there is a lot wrong with copyright, which was created a long time ago. She writes: “Copyright closes the door on the many ways that people can share, build upon and remix each other’s work, possibilities that we could not imagine when those laws were made.” She says artists need to think reatively about how they earn money from their work.",0
169,"Index on Censorship agrees. The magazine’s editor, Rachael Jolley, said: Illegal downloading is a very big problem. Between November 2012 and January 2013 in the UK, 280 million music tracks were digitally pirated along with 52 million TV shows, 29 million films,18 million ebooks and 7 million software or games files.",0
170,"18% of internet users aged over 12 say they have pirated items, and 9% say they are afraid they will get caught. Pullman writes in his article: “The ease and speed with which people can get music in MP3 is still very surprising to people like me who have been building up their iTunes list for some time.”",0
171,"After the Downing Street meeting, Cameron asked the Conservative MP Mike Weatherley to be his adviser on the subject. The BPI, an organization that supports music companies, said: “Mike Weatherley is a strong supporter of copyright and the artists and creative producers it’s there to protect. We hope his influence and the prime minister’s support for copyright will change how we see illegal downloading in the UK.”",0
172,﻿The business idea is to produce a cheap light that gets free power from gravity and could end the use of dangerous kerosene lamps in Africa and India.,0
173,"But when British designer, Patrick Hunt, tried to get money from banks or venture capitalists to help start his business, he hit a problem. “We tried to get funding, but it’s slow and difficult and nobody wants to take a risk,” he said.",0
174,"So he tried crowdfunding on a US website, Indiegogo, which has recently opened up in the UK. Within five days, he made £36,200. His campaign was so popular that within 40 days he had made £400,000 from the public.",0
175,"A 10kg bag of rocks is attached to the light, lifted to a height of about two metres, and while it slowly falls to the ground it makes enough power for half an hour of light.",0
176,Hunt is one of a new group of entrepreneurs who are trying to get money from the fast-growing crowdfunding industry to start their businesses. Another new crowdfunding site is InvestingZone. It matches wealthy people with entrepreneurs.,0
177,"On Indiegogo, users can offer “perks” for different levels of investment – for example, people who helped to fund Hunt’s light could feel good about helping someone who is less rich, but they also got one of his lights as a present.",0
178,"For Danae Ringelmann, who started Indiegogo, the “gravity light” is a perfect example of how crowdfunding can work and how it can test an entrepreneur’s idea. a European service. It says it is very popular in Britain. International activity has increased by 41% since December.",0
179,"There are other crowdfunding sites, such as Kickstarter, Seedrs and Funding Circle, but Indiegogo is the only crowdfunding site where anyone can start a campaign. No project is too crazy for Indiegogo.",0
180,The site charges a 4% fee for successful campaigns. Entrepreneurs who do not find the amount of money they wanted to find can either pay back all the money or keep all the money but pay a 9% fee.,0
181,"A British woman made £100,000 to open a “cat café” in London through the site. It will be called Lady Dinah’s Cat Emporium, but it is not open yet. It will be somewhere people can “come in from the cold to a comfortable chair, a hot cup of tea, a book and a cat”.",0
